"Kingdom","Phylum","Class","Order","Family","Genus","Count"
"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae","endosymbionts",5
"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",5
"Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexaceae","Pseudobacteriovorax",5
"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfuricurvum",5
"Bacteria","Cyanobacteriota","Cyanobacteriia","Cyanobacteriales","Phormidiaceae","Arthrospira PCC-7345",5
"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",5
"Bacteria","Pseudomonadota","Alphaproteobacteria","Caedibacterales","Caedibacteraceae","Caedibacter",5
"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Jannaschia",5
"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Roseicitreum",5
"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Haematospirillum",5
"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Terasakiellaceae","Marivibrio",5
"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Terasakiellaceae","Terasakiella",5
"Bacteria","Pseudomonadota","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Arboricoccus",5
"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Hydrogenophilaceae","Thiobacillus",5
"Bacteria","Pseudomonadota","Gammaproteobacteria","Ectothiorhodospirales","Ectothiorhodospiraceae","Thiogranum",5
"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Catenovulum",5
"Bacteria","Pseudomonadota","Gammaproteobacteria","Francisellales","Francisellaceae","Allofrancisella",5
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Marinagarivorans",5
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Halomonadaceae","Halomonas",5
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Nitrincolaceae","Neptunomonas",5
"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Oceanicoccus",5
"Bacteria","Pseudomonadota","Gammaproteobacteria","Tenderiales","Tenderiaceae","Candidatus Tenderia",5
"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Sediminispirochaeta",5
"Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","Desulfotalea",5
"Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfurivibrionaceae","MSBL7",5
"Bacteria","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Halodesulfovibrio",5
"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Opitutales","Puniceicoccaceae","Pelagicoccus",5
"Bacteria","Actinomycetota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",4
"Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Lawsonella",4
"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",4
"Bacteria","Bacillota","Bacilli","Mycoplasmatales","Mycoplasmataceae","Candidatus Hepatoplasma",4
"Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Oceanirhabdus",4
